week_monday,company_id,ticker,simple_mean_stance,n_articles,n_days_covered,has_data,is_imputed
2015-11-16,12,WMT,-0.4072109698412698,59.0,7.0,True,False
2015-11-23,12,WMT,0.0178604333333333,55.0,7.0,True,False
2015-11-30,12,WMT,-0.3906939198412698,38.0,7.0,True,False
2015-12-07,12,WMT,-0.1920307192460317,75.0,7.0,True,False
2015-12-14,12,WMT,-0.1378744242424242,41.0,7.0,True,False
2015-12-21,12,WMT,-0.2051809928571428,27.0,7.0,True,False
2015-12-28,12,WMT,-0.2083414642857143,24.0,7.0,True,False
2016-01-04,12,WMT,-0.2326976357142857,28.0,6.0,True,False
2016-01-11,12,WMT,-0.2875615281385281,69.0,7.0,True,False
2016-01-18,12,WMT,-0.2425094241987179,50.0,6.0,True,False
2016-01-25,12,WMT,-0.2324437733893557,46.0,6.0,True,False
2016-02-01,12,WMT,-0.2089457238095238,28.0,5.0,True,False
2016-02-08,12,WMT,-0.0751759295238095,18.0,5.0,True,False
2016-02-15,12,WMT,-0.1922783124999999,29.0,6.0,True,False
2016-02-22,12,WMT,-0.4222929555555555,19.0,6.0,True,False
2016-02-29,12,WMT,-0.2593156190476191,24.0,7.0,True,False
2016-03-07,12,WMT,-0.1617008333333333,17.0,5.0,True,False
2016-03-14,12,WMT,-0.0273311904761904,18.0,7.0,True,False
2016-03-21,12,WMT,-0.2262877702020201,24.0,6.0,True,False
2016-03-28,12,WMT,0.0018288285714285,22.0,7.0,True,False
2016-04-04,12,WMT,-0.1768267662337662,40.0,7.0,True,False
2016-04-11,12,WMT,0.0385107551020408,34.0,7.0,True,False
2016-04-18,12,WMT,-0.0398591527777777,29.0,6.0,True,False
2016-04-25,12,WMT,-0.0726089,14.0,5.0,True,False
2016-05-02,12,WMT,0.216357775,21.0,6.0,True,False
2016-05-09,12,WMT,0.1135457854090354,33.0,6.0,True,False
2016-05-16,12,WMT,-0.0656781707717569,65.0,7.0,True,False
2016-05-23,12,WMT,-0.1948283523809524,27.0,7.0,True,False
2016-05-30,12,WMT,-0.0021637138610182,52.0,6.0,True,False
2016-06-06,12,WMT,-0.025931531462585,38.0,7.0,True,False
2016-06-13,12,WMT,-0.0906459693521594,71.0,6.0,True,False
2016-06-20,12,WMT,-0.0663327234126984,31.0,7.0,True,False
2016-06-27,12,WMT,0.0171763317460317,46.0,7.0,True,False
2016-07-04,12,WMT,-0.1089116202686203,31.0,6.0,True,False
2016-07-11,12,WMT,-0.14810925,19.0,6.0,True,False
2016-07-18,12,WMT,-0.0681619,25.0,6.0,True,False
2016-07-25,12,WMT,-0.3351245328431373,35.0,6.0,True,False
2016-08-01,12,WMT,-0.0932260606679035,56.0,7.0,True,False
2016-08-08,12,WMT,-0.1442926052631579,74.0,6.0,True,False
2016-08-15,12,WMT,-0.177193812037037,51.0,6.0,True,False
2016-08-22,12,WMT,-0.1072718472222222,23.0,6.0,True,False
2016-08-29,12,WMT,-0.0890002361111111,35.0,6.0,True,False
2016-09-05,12,WMT,-0.0545503963564213,49.0,7.0,True,False
2016-09-12,12,WMT,-0.0389479106481481,35.0,6.0,True,False
2016-09-19,12,WMT,-0.0627596555555555,40.0,6.0,True,False
2016-09-26,12,WMT,-0.3004231523809523,27.0,6.0,True,False
2016-10-03,12,WMT,-0.0474618159722222,35.0,6.0,True,False
2016-10-10,12,WMT,0.1048843952380952,27.0,7.0,True,False
2016-10-17,12,WMT,0.0665812785714285,27.0,7.0,True,False
2016-10-24,12,WMT,0.0703853452380952,38.0,7.0,True,False
2016-10-31,12,WMT,-0.1945130773809523,34.0,6.0,True,False
2016-11-07,12,WMT,0.2170285983709273,43.0,7.0,True,False
2016-11-14,12,WMT,0.029934306027306,42.0,7.0,True,False
2016-11-21,12,WMT,0.0292244204850704,61.0,7.0,True,False
2016-11-28,12,WMT,-0.1119152397649969,33.0,7.0,True,False
2016-12-05,12,WMT,-0.0432628357142857,41.0,7.0,True,False
2016-12-12,12,WMT,-0.0443869714285714,26.0,7.0,True,False
2016-12-19,12,WMT,-0.1732841664835165,66.0,7.0,True,False
2016-12-26,12,WMT,-0.11042371292517,25.0,7.0,True,False
2017-01-02,12,WMT,-0.1755043578754578,45.0,7.0,True,False
2017-01-09,12,WMT,0.0188101801587301,34.0,7.0,True,False
2017-01-16,12,WMT,-0.0399784114845938,42.0,7.0,True,False
2017-01-23,12,WMT,-0.0425085187074829,38.0,7.0,True,False
2017-01-30,12,WMT,-0.0667064867159782,71.0,7.0,True,False
2017-02-06,12,WMT,-0.0556623095238095,24.0,7.0,True,False
2017-02-13,12,WMT,-0.1629925458730158,58.0,7.0,True,False
2017-02-20,12,WMT,0.1481133014069264,52.0,7.0,True,False
2017-02-27,12,WMT,-0.0469608134920635,35.0,6.0,True,False
2017-03-06,12,WMT,0.0891797092592592,31.0,6.0,True,False
2017-03-13,12,WMT,-0.0474572119047618,43.0,7.0,True,False
2017-03-20,12,WMT,-0.0462684364761056,56.0,7.0,True,False
2017-03-27,12,WMT,-0.1112708880952381,24.0,6.0,True,False
2017-04-03,12,WMT,-0.080918011747776,45.0,7.0,True,False
2017-04-10,12,WMT,-0.0108369424242424,60.0,7.0,True,False
2017-04-17,12,WMT,-0.059511565604237,56.0,7.0,True,False
2017-04-24,12,WMT,0.0080725780612244,42.0,7.0,True,False
2017-05-01,12,WMT,-0.0226612358783864,76.0,7.0,True,False
2017-05-08,12,WMT,-0.0060921284580498,71.0,7.0,True,False
2017-05-15,12,WMT,-0.0886484222382286,73.0,7.0,True,False
2017-05-22,12,WMT,-0.0634774644557823,46.0,7.0,True,False
2017-05-29,12,WMT,0.0930087526819923,88.0,6.0,True,False
2017-06-05,12,WMT,-0.0659936144393241,53.0,7.0,True,False
2017-06-12,12,WMT,-0.0598700549932523,69.0,6.0,True,False
2017-06-19,12,WMT,-0.0726933111459968,64.0,7.0,True,False
2017-06-26,12,WMT,-0.0445226808420338,64.0,7.0,True,False
2017-07-03,12,WMT,-0.0730617095238095,46.0,7.0,True,False
2017-07-10,12,WMT,-0.1709201571637426,55.0,6.0,True,False
2017-07-17,12,WMT,-0.1346047832429732,125.0,7.0,True,False
2017-07-24,12,WMT,-0.0700846039021164,70.0,6.0,True,False
