ticker,week_monday,gap_type,method,imputed_value
BAC,2021-11-01,B,linear_interpolation,-0.007544666666666658
BAC,2021-11-08,B,linear_interpolation,-0.06995749999999998
BAC,2021-11-15,B,linear_interpolation,-0.1323703333333333
BAC,2021-11-22,B,linear_interpolation,-0.19478316666666665
BAC,2021-12-13,B,linear_interpolation,0.271272275
BAC,2021-12-20,B,linear_interpolation,0.26877755
BAC,2021-12-27,B,linear_interpolation,0.266282825
BAC,2022-01-03,B,linear_interpolation,0.26378809999999997
BAC,2022-01-24,A,forward_fill,0.619271
BAC,2022-02-28,A,forward_fill,0.227084
BAC,2022-03-07,A,forward_fill,0.227084
BAC,2022-03-28,A,forward_fill,0.103438
BAC,2022-04-11,A,forward_fill,0.587789
BAC,2022-04-25,A,forward_fill,0.3572462777777778
BAC,2022-05-16,A,forward_fill,-0.348409
BAC,2022-05-23,A,forward_fill,-0.348409
BAC,2022-06-13,A,forward_fill,-0.1047123333333333
BAC,2022-06-27,A,forward_fill,-0.336092
BAC,2022-08-22,A,forward_fill,-0.309069
BAC,2022-09-19,A,forward_fill,0.081527
BAC,2022-09-26,A,forward_fill,0.081527
BAC,2022-10-31,A,forward_fill,0.374541
BAC,2022-11-14,A,forward_fill,0.182768
BAC,2022-12-19,A,forward_fill,0.011866
BAC,2023-01-02,A,forward_fill,0.396241
BAC,2023-01-23,A,forward_fill,-0.7233175000000001
BAC,2023-01-30,A,forward_fill,-0.7233175000000001
BAC,2023-02-20,B,linear_interpolation,-0.028569437500000003
BAC,2023-02-27,B,linear_interpolation,-0.006952875000000004
BAC,2023-03-06,B,linear_interpolation,0.014663687500000001
BAC,2023-03-20,A,forward_fill,0.03628025
BAC,2023-03-27,A,forward_fill,0.03628025
BAC,2023-04-24,A,forward_fill,0.3825772222222222
BAC,2023-05-08,A,forward_fill,0.166352
BAC,2023-05-22,B,linear_interpolation,-0.07208675
BAC,2023-05-29,B,linear_interpolation,-0.0520925
BAC,2023-06-05,B,linear_interpolation,-0.03209825
BAC,2023-06-19,A,forward_fill,-0.012104
BAC,2023-08-21,A,forward_fill,-0.1913791666666666
BAC,2023-10-02,A,forward_fill,-0.577181
BAC,2023-10-09,A,forward_fill,-0.577181
BAC,2023-10-23,B,linear_interpolation,0.2763881944444445
BAC,2023-10-30,B,linear_interpolation,0.028871555555555595
BAC,2023-11-06,B,linear_interpolation,-0.21864508333333332
BAC,2023-11-13,B,linear_interpolation,-0.4661617222222222
BAC,2023-11-20,B,linear_interpolation,-0.713678361111111
BAC,2023-12-04,A,forward_fill,-0.961195
BAC,2023-12-25,A,forward_fill,-0.1539469999999999
BAC,2024-01-01,A,forward_fill,-0.1539469999999999
BAC,2024-02-19,B,linear_interpolation,-0.594088
BAC,2024-02-26,B,linear_interpolation,-0.49669549999999996
BAC,2024-03-04,B,linear_interpolation,-0.3993029999999999
BAC,2024-03-25,A,forward_fill,0.27491
BAC,2024-04-01,A,forward_fill,0.27491
BAC,2024-05-06,A,forward_fill,-0.853578
BAC,2024-06-03,A,forward_fill,0.366091
BAC,2024-06-17,A,forward_fill,-0.016167
BAC,2024-07-01,A,forward_fill,0.188155
BAC,2024-07-08,A,forward_fill,0.188155
BAC,2024-08-19,A,forward_fill,-0.806564
BAC,2024-12-02,A,forward_fill,0.367359
BAC,2024-12-30,A,forward_fill,0.1727953333333333
BAC,2025-01-06,A,forward_fill,0.1727953333333333
BAC,2025-02-17,A,forward_fill,0.46616
BAC,2025-03-31,A,forward_fill,0.137336
BAC,2025-05-05,A,forward_fill,-0.757604
BAC,2025-05-26,A,forward_fill,-0.2282975
BAC,2025-06-02,A,forward_fill,-0.2282975
BAC,2025-06-16,A,forward_fill,0.010006
BAC,2025-08-11,B,linear_interpolation,-0.6763449333333333
BAC,2025-08-18,B,linear_interpolation,-0.4860898666666667
BAC,2025-08-25,B,linear_interpolation,-0.29583480000000006
BAC,2025-09-01,B,linear_interpolation,-0.10557973333333337
BAC,2025-10-06,A,forward_fill,0.291991
BAC,2025-10-27,A,forward_fill,0.052652
BAC,2025-11-17,B,linear_interpolation,0.031595900000000024
BAC,2025-11-24,B,linear_interpolation,0.01838980000000004
BAC,2025-12-01,B,linear_interpolation,0.005183700000000062
BAC,2025-12-08,B,linear_interpolation,-0.008022399999999923
BAC,2025-12-22,A,forward_fill,-0.0212284999999999
BAC,2025-12-29,A,forward_fill,-0.0212284999999999
GM,2015-12-21,A,forward_fill,0.0449948333333333
GM,2016-07-04,A,forward_fill,-0.6014390000000001
GM,2017-11-06,A,forward_fill,-0.55877875
GM,2018-08-13,A,forward_fill,-0.3125664999999999
GM,2018-08-27,A,forward_fill,-0.207125
GM,2018-09-03,A,forward_fill,-0.207125
GM,2018-11-05,A,forward_fill,0.7745514277777777
GM,2018-11-12,A,forward_fill,0.7745514277777777
GM,2019-08-19,A,forward_fill,0.1619295
GM,2020-07-20,A,forward_fill,-0.1490885
GM,2020-12-28,A,forward_fill,-0.1842350833333333
GM,2021-05-17,A,forward_fill,-0.14555775
GM,2021-12-27,A,forward_fill,-0.134115
GM,2022-05-02,A,forward_fill,0.1317648636363636
GM,2023-05-22,A,forward_fill,-0.23314245
GM,2024-04-08,A,forward_fill,-0.033928
GM,2024-06-17,A,forward_fill,0.3340234696969696
GM,2024-12-23,A,forward_fill,0.709771
GM,2025-08-18,A,forward_fill,0.307756
GM,2025-11-17,A,forward_fill,-0.12915225
GM,2025-12-01,A,forward_fill,0.316327
GM,2025-12-08,A,forward_fill,0.316327
GM,2025-12-29,A,forward_fill,-0.522524
GS,2015-01-26,A,forward_fill,-0.01863125
GS,2015-03-23,A,forward_fill,-0.0371233333333333
GS,2015-08-24,A,forward_fill,0.2519991166666666
GS,2016-03-28,A,forward_fill,-0.965338
GS,2016-09-12,A,forward_fill,-0.202498
GS,2017-04-10,A,forward_fill,-0.1706619999999999
GS,2017-05-15,A,forward_fill,0.031532375
GS,2017-12-04,A,forward_fill,0.26125295
GS,2018-06-11,A,forward_fill,-0.5141285
GS,2018-09-24,A,forward_fill,0.091353
GS,2019-06-17,A,forward_fill,0.2010361666666666
GS,2019-08-12,A,forward_fill,-0.27114116
GS,2019-11-04,A,forward_fill,-0.0646995833333333
GS,2019-11-18,A,forward_fill,-0.5604436666666667
GS,2020-12-21,A,forward_fill,-0.4090026666666666
GS,2021-09-27,A,forward_fill,-0.17213375
GS,2022-01-03,A,forward_fill,0.1654175
GS,2022-02-21,A,forward_fill,0.1609436666666666
GS,2022-03-14,A,forward_fill,0.0406523333333333
GS,2022-05-02,A,forward_fill,0.57824
GS,2022-07-04,A,forward_fill,0.0207384999999999
GS,2022-07-25,A,forward_fill,-0.105643803030303
GS,2022-08-08,A,forward_fill,-0.34819875
GS,2022-10-03,A,forward_fill,-0.139746
GS,2023-12-25,A,forward_fill,-0.7396015
GS,2024-01-01,A,forward_fill,-0.7396015
GS,2024-12-23,A,forward_fill,0.3123184999999999
GS,2024-12-30,A,forward_fill,0.3123184999999999
GS,2025-07-07,A,forward_fill,0.0950031249999999
GS,2025-11-24,A,forward_fill,0.543743
GS,2025-12-29,A,forward_fill,-0.15395
